osmid,y,x,highway,street_count,geometry
7006051793,14.5836737,120.9728757,,1,POINT (120.9728757 14.5836737)
7006051794,14.5838275,120.972769,,1,POINT (120.972769 14.5838275)
7006051795,14.58947,120.9789113,,1,POINT (120.9789113 14.58947)
7006051796,14.5894739,120.9788194,,1,POINT (120.9788194 14.5894739)
7006051804,14.5817886,120.9810629,crossing,4,POINT (120.9810629 14.5817886)
7006051805,14.5819159,120.9809874,crossing,4,POINT (120.9809874 14.5819159)
7006051808,14.5819592,120.9813562,crossing,4,POINT (120.9813562 14.5819592)
7006051810,14.5895826,120.9789535,,4,POINT (120.9789535 14.5895826)
7006051811,14.5935685,120.9775993,,4,POINT (120.9775993 14.5935685)
7006051812,14.5903223,120.9804886,,4,POINT (120.9804886 14.5903223)
7006051813,14.5926043,120.9730279,,1,POINT (120.9730279 14.5926043)
7006051814,14.5926945,120.9729447,,1,POINT (120.9729447 14.5926945)
7006051815,14.5896432,120.9695276,,1,POINT (120.9695276 14.5896432)
7006051816,14.5897266,120.9694511,,1,POINT (120.9694511 14.5897266)
7006051817,14.5887127,120.9685788,,1,POINT (120.9685788 14.5887127)
7006051818,14.5888003,120.9684933,,1,POINT (120.9684933 14.5888003)
7006051819,14.5887854,120.9685097,crossing,4,POINT (120.9685097 14.5887854)
7006051837,14.5902701,120.970919,,1,POINT (120.970919 14.5902701)
7006051838,14.5912589,120.9715102,,3,POINT (120.9715102 14.5912589)
7006051840,14.5909826,120.9713763,,3,POINT (120.9713763 14.5909826)
7006051842,14.5904808,120.9713459,,4,POINT (120.9713459 14.5904808)
7020887608,14.5820469,120.981062,crossing,4,POINT (120.981062 14.5820469)
7020887609,14.5820979,120.9811635,crossing,4,POINT (120.9811635 14.5820979)
7020887610,14.5818508,120.9812747,crossing,4,POINT (120.9812747 14.5818508)
7020887627,14.5824858,120.9848304,crossing,5,POINT (120.9848304 14.5824858)
7020887628,14.5824483,120.9848479,crossing,4,POINT (120.9848479 14.5824483)
7020887629,14.5824543,120.984594,crossing,4,POINT (120.984594 14.5824543)
7020887630,14.5825031,120.9847045,crossing,4,POINT (120.9847045 14.5825031)
7020887632,14.5823799,120.9847725,crossing,5,POINT (120.9847725 14.5823799)
7020887633,14.582321,120.9846673,crossing,4,POINT (120.9846673 14.582321)
7020887635,14.58236,120.9845515,crossing,4,POINT (120.9845515 14.58236)
7020887637,14.5824224,120.9845196,,3,POINT (120.9845196 14.5824224)
7020887638,14.5824569,120.9844136,,1,POINT (120.9844136 14.5824569)
7020887640,14.5809739,120.9817813,crossing,4,POINT (120.9817813 14.5809739)
7020887641,14.5808804,120.9818397,crossing,4,POINT (120.9818397 14.5808804)
7020887642,14.5809027,120.9817569,crossing,4,POINT (120.9817569 14.5809027)
7020887643,14.580958,120.9818577,crossing,4,POINT (120.9818577 14.580958)
7020887648,14.5816768,120.9833577,,1,POINT (120.9833577 14.5816768)
7020887649,14.5817768,120.9832994,,1,POINT (120.9832994 14.5817768)
7020887650,14.5817342,120.9833242,crossing,4,POINT (120.9833242 14.5817342)
7022908327,14.5993056,120.997961,,1,POINT (120.997961 14.5993056)
7022908329,14.5994873,120.9978316,,1,POINT (120.9978316 14.5994873)
7022908330,14.5937287,120.9933704,,3,POINT (120.9933704 14.5937287)
7022908331,14.5941643,120.9935835,,3,POINT (120.9935835 14.5941643)
7022908332,14.5933227,120.9931307,,1,POINT (120.9931307 14.5933227)
