osmid,y,x,street_count,highway,ref,geometry
7679364659,15.1890141,120.5032188,1,,,POINT (120.5032188 15.1890141)
7679364663,15.1895531,120.5028581,3,,,POINT (120.5028581 15.1895531)
7679364666,15.1924915,120.5044711,3,,,POINT (120.5044711 15.1924915)
7679364667,15.1927209,120.5047604,4,,,POINT (120.5047604 15.1927209)
7679364668,15.192665,120.5044547,3,,,POINT (120.5044547 15.192665)
7679364669,15.1934042,120.5043688,3,,,POINT (120.5043688 15.1934042)
7679364681,15.1923953,120.5038559,1,,,POINT (120.5038559 15.1923953)
7679366585,15.1926351,120.5049886,3,,,POINT (120.5049886 15.1926351)
7679366588,15.1934262,120.5045029,3,,,POINT (120.5045029 15.1934262)
7679366594,15.1920077,120.5029875,1,,,POINT (120.5029875 15.1920077)
7679366599,15.1921954,120.5033255,1,,,POINT (120.5033255 15.1921954)
7679366600,15.1924102,120.5033228,1,,,POINT (120.5033228 15.1924102)
7679366606,15.1918733,120.5038735,3,,,POINT (120.5038735 15.1918733)
7679390079,15.1760479,120.6384243,1,,,POINT (120.6384243 15.1760479)
7679390742,15.1809085,120.5364719,3,,,POINT (120.5364719 15.1809085)
7679390744,15.1807185,120.536007,3,,,POINT (120.536007 15.1807185)
7679398677,15.1767721,120.6364336,1,,,POINT (120.6364336 15.1767721)
7679420497,15.1747212,120.636925,3,,,POINT (120.636925 15.1747212)
7679420502,15.1749329,120.6372823,3,,,POINT (120.6372823 15.1749329)
7679420503,15.1750273,120.6374366,3,,,POINT (120.6374366 15.1750273)
7679514493,15.1942621,120.5208206,3,,,POINT (120.5208206 15.1942621)
7679514494,15.1946895,120.5208218,3,,,POINT (120.5208218 15.1946895)
7679514499,15.1952045,120.5190768,1,,,POINT (120.5190768 15.1952045)
7679560925,15.1572643,120.551231,1,,,POINT (120.551231 15.1572643)
7679560928,15.1551912,120.5509923,1,,,POINT (120.5509923 15.1551912)
7679560933,15.1546657,120.5508073,3,,,POINT (120.5508073 15.1546657)
7679560934,15.1489584,120.5475739,4,,,POINT (120.5475739 15.1489584)
7679560936,15.1557828,120.5512619,1,,,POINT (120.5512619 15.1557828)
7679560940,15.1560495,120.5515154,3,,,POINT (120.5515154 15.1560495)
7679593611,15.1549162,120.5494843,1,,,POINT (120.5494843 15.1549162)
7679593614,15.1550741,120.5490477,1,,,POINT (120.5490477 15.1550741)
7679593616,15.1553,120.5490886,3,,,POINT (120.5490886 15.1553)
7679611110,15.1167513,120.5853782,1,,,POINT (120.5853782 15.1167513)
7679611113,15.1174906,120.5854346,3,,,POINT (120.5854346 15.1174906)
7679624335,15.1166315,120.58632,3,,,POINT (120.58632 15.1166315)
7679624343,15.1168471,120.5858426,3,,,POINT (120.5858426 15.1168471)
7679626876,15.1167636,120.5877248,3,,,POINT (120.5877248 15.1167636)
7679626877,15.1169951,120.5875691,3,,,POINT (120.5875691 15.1169951)
7679636802,15.1130148,120.5939171,1,,,POINT (120.5939171 15.1130148)
7679636803,15.1130873,120.5936864,3,,,POINT (120.5936864 15.1130873)
7679647809,15.1923542,120.5356091,3,,,POINT (120.5356091 15.1923542)
