u,v,key,osmid,oneway,name,highway,access,length,maxspeed,width,geometry,lanes,junction,bridge,ref,tunnel,service
254707162,2396217424,0,23522046,False,,residential,,96.379,,6,"LINESTRING (123.2405059 13.644446, 123.2409369 13.6444831, 123.2411055 13.6445032, 123.2411636 13.6444724, 123.2412203 13.6443914, 123.2412914 13.6442946)",,,,,,
254707195,254707160,0,23520773,False,,residential,,24.502,,6,"LINESTRING (123.2396681 13.6440526, 123.239688 13.6438331)",,,,,,
254707195,5707698612,0,23520773,False,,residential,,18.312,,6,"LINESTRING (123.2396681 13.6440526, 123.2396626 13.6442172)",,,,,,
254707195,254707212,0,23522130,False,,residential,,157.499,,6,"LINESTRING (123.2396681 13.6440526, 123.2387272 13.6440694, 123.2386894 13.6441266, 123.2386823 13.6442259, 123.2386943 13.6445601)",,,,,,
254707207,5707698612,0,23520773,False,,residential,,8.276,,6,"LINESTRING (123.2396566 13.6442914, 123.2396626 13.6442172)",,,,,,
254707207,254707881,0,23520773,False,,residential,,36.141,,6,"LINESTRING (123.2396566 13.6442914, 123.2396243 13.6446149)",,,,,,
254707207,254707217,0,23522112,False,,residential,,104.96600000000001,,6,"LINESTRING (123.2396566 13.6442914, 123.2389823 13.6443148, 123.2389318 13.6443468, 123.238923 13.6444356, 123.2389221 13.6445761)",,,,,,
254707212,254707217,0,23520702,False,,residential,,24.68,,6,"LINESTRING (123.2386943 13.6445601, 123.2389221 13.6445761)",,,,,,
254707212,2396217455,0,23520702,False,,residential,,27.75,,6,"LINESTRING (123.2386943 13.6445601, 123.2384375 13.6445576)",,,,,,
254707212,254707195,0,23522130,False,,residential,,157.499,,6,"LINESTRING (123.2386943 13.6445601, 123.2386823 13.6442259, 123.2386894 13.6441266, 123.2387272 13.6440694, 123.2396681 13.6440526)",,,,,,
254707217,254707881,0,23520702,False,,residential,,76.0,,6,"LINESTRING (123.2389221 13.6445761, 123.2396243 13.6446149)",,,,,,
254707217,254707212,0,23520702,False,,residential,,24.68,,6,"LINESTRING (123.2389221 13.6445761, 123.2386943 13.6445601)",,,,,,
254707217,254707207,0,23522112,False,,residential,,104.96600000000001,,6,"LINESTRING (123.2389221 13.6445761, 123.238923 13.6444356, 123.2389318 13.6443468, 123.2389823 13.6443148, 123.2396566 13.6442914)",,,,,,
254707226,254721974,0,23519212,True,,tertiary,,45.365,,5,"LINESTRING (123.2367148 13.6451607, 123.2367022 13.6451759, 123.2366289 13.6452316, 123.2365798 13.6452555, 123.2365059 13.6452768, 123.2364222 13.6452826, 123.2363331 13.6452657)",,roundabout,,,,
