osmid,y,x,street_count,highway,ref,geometry
7425017025,14.3507093,120.9406287,3,,,POINT (120.9406287 14.3507093)
7425017026,14.3505483,120.9406348,1,,,POINT (120.9406348 14.3505483)
7437329781,14.2749582,120.9661291,1,,,POINT (120.9661291 14.2749582)
7437373785,14.2750092,120.966041,3,,,POINT (120.966041 14.2750092)
7437373786,14.2748911,120.9661019,3,,,POINT (120.9661019 14.2748911)
7488279292,14.2992148,120.9580631,1,,,POINT (120.9580631 14.2992148)
7488279293,14.2992818,120.9580718,3,,,POINT (120.9580718 14.2992818)
7488279295,14.2992273,120.9580403,3,,,POINT (120.9580403 14.2992273)
7490869131,14.3408444,120.9840831,1,,,POINT (120.9840831 14.3408444)
7490869140,14.3370144,120.9858376,4,,,POINT (120.9858376 14.3370144)
7490869142,14.3371714,120.9854115,1,,,POINT (120.9854115 14.3371714)
7490869143,14.3372587,120.9858999,3,,,POINT (120.9858999 14.3372587)
7490869144,14.337026,120.9859114,3,,,POINT (120.9859114 14.337026)
7509119217,14.3235787,120.9625867,3,,,POINT (120.9625867 14.3235787)
7509119219,14.3234129,120.9622873,3,,,POINT (120.9622873 14.3234129)
7509119227,14.322765,120.9609528,4,crossing,,POINT (120.9609528 14.322765)
7541008577,14.3002863,120.9540397,3,,,POINT (120.9540397 14.3002863)
7541008578,14.2999426,120.9541911,3,,,POINT (120.9541911 14.2999426)
7541008579,14.2995967,120.9543435,3,,,POINT (120.9543435 14.2995967)
7541008580,14.3010731,120.9566475,4,,,POINT (120.9566475 14.3010731)
7541008581,14.3011078,120.9567664,4,,,POINT (120.9567664 14.3011078)
7541008582,14.3008485,120.9565591,3,,,POINT (120.9565591 14.3008485)
7541012085,14.3013812,120.9568886,3,,,POINT (120.9568886 14.3013812)
7572472141,14.3203338,120.9843007,1,,,POINT (120.9843007 14.3203338)
7672710933,14.3329076,120.9385051,3,,,POINT (120.9385051 14.3329076)
7672710950,14.2993877,120.9609287,3,,,POINT (120.9609287 14.2993877)
7701591039,14.2927041,120.9581721,4,,,POINT (120.9581721 14.2927041)
7701591040,14.2939747,120.9577152,4,,,POINT (120.9577152 14.2939747)
7701591041,14.2944074,120.9575438,4,,,POINT (120.9575438 14.2944074)
7733132921,14.2771567,120.9659851,1,,,POINT (120.9659851 14.2771567)
7733132922,14.2767856,120.9651993,3,,,POINT (120.9651993 14.2767856)
7780203910,14.2965505,120.9453992,3,,,POINT (120.9453992 14.2965505)
7805434897,14.2919986,120.929845,1,,,POINT (120.929845 14.2919986)
7831311433,14.306086,120.9800569,3,,,POINT (120.9800569 14.306086)
7831311445,14.307009,120.9805117,1,,,POINT (120.9805117 14.307009)
7831311450,14.3067186,120.9801331,1,,,POINT (120.9801331 14.3067186)
7831311451,14.3067759,120.9801547,1,,,POINT (120.9801547 14.3067759)
7831311454,14.306846,120.9802222,3,,,POINT (120.9802222 14.306846)
7831311458,14.3069721,120.9803081,3,,,POINT (120.9803081 14.3069721)
7831311461,14.3069162,120.9804583,3,,,POINT (120.9804583 14.3069162)
7831311472,14.3066951,120.9801994,3,,,POINT (120.9801994 14.3066951)
7831311473,14.3067521,120.9802221,3,,,POINT (120.9802221 14.3067521)
7831311474,14.3067785,120.9802611,3,,,POINT (120.9802611 14.3067785)
7831311477,14.3067369,120.9803858,3,,,POINT (120.9803858 14.3067369)
7831324295,14.3062327,120.9801686,3,,,POINT (120.9801686 14.3062327)
7831324297,14.3062743,120.9800224,3,,,POINT (120.9800224 14.3062743)
7831324303,14.3064822,120.980127,3,,,POINT (120.980127 14.3064822)
7831324309,14.3065173,120.9803067,3,,,POINT (120.9803067 14.3065173)
7844932536,14.2995087,120.9612371,4,,,POINT (120.9612371 14.2995087)
7844932537,14.2994524,120.9609165,4,,,POINT (120.9609165 14.2994524)
7844932538,14.2993973,120.9606028,4,,,POINT (120.9606028 14.2993973)
7844932539,14.2994998,120.9605697,1,,,POINT (120.9605697 14.2994998)
7844932540,14.2993341,120.9606232,3,,,POINT (120.9606232 14.2993341)
7844932541,14.2996427,120.9608808,1,,,POINT (120.9608808 14.2996427)
7844932542,14.2996089,120.9612188,1,,,POINT (120.9612188 14.2996089)
7844932546,14.3007344,120.9612992,1,,,POINT (120.9612992 14.3007344)
7859985222,14.3008965,120.9580363,3,,,POINT (120.9580363 14.3008965)
7866621940,14.2939146,120.9392116,3,,,POINT (120.9392116 14.2939146)
7866621945,14.2947229,120.9384177,3,,,POINT (120.9384177 14.2947229)
7866621946,14.2939566,120.9392018,4,,,POINT (120.9392018 14.2939566)
7866621947,14.2948287,120.9386925,3,,,POINT (120.9386925 14.2948287)
7866621948,14.2950467,120.9385738,1,,,POINT (120.9385738 14.2950467)
7899994128,14.350057,120.9375669,4,,,POINT (120.9375669 14.350057)
7899994129,14.3491088,120.937508,4,,,POINT (120.937508 14.3491088)
7899994130,14.3485217,120.9374819,4,,,POINT (120.9374819 14.3485217)
7899994131,14.3469643,120.9374029,4,,,POINT (120.9374029 14.3469643)
