u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,length,geometry,service,bridge,width,access
311732039,311732038,0,780061977,2,,Pico-Lamtang Road,primary,,False,115.629,"LINESTRING (120.5689216 16.4460962, 120.5689012 16.4459552, 120.5688746 16.4456859, 120.5688652 16.4452923, 120.5688813 16.4450595)",,,,
311734659,1141951800,0,209022141,,,Longlong Road,secondary,,False,488.33,"LINESTRING (120.5658343 16.4421924, 120.565841 16.4421641, 120.5658518 16.4420445, 120.5658638 16.4419609, 120.565884 16.4418632, 120.5659322 16.4417024, 120.5660368 16.4415364, 120.5661884 16.4413139, 120.5662635 16.4411994, 120.5662823 16.4411454, 120.5662917 16.4410644, 120.5662836 16.4409859, 120.5662702 16.4408727, 120.5662005 16.4407583, 120.566171 16.4407293, 120.5661334 16.4407068, 120.56601 16.4406579, 120.5658571 16.4406322, 120.5657659 16.4406078, 120.5656707 16.4405846, 120.5655996 16.4405537, 120.5655487 16.4405023, 120.565543 16.4404914, 120.5655406 16.4404851, 120.565542 16.4404753, 120.5655675 16.4403466, 120.565616 16.4402199, 120.5656815 16.4400277, 120.5656962 16.4400067, 120.5657177 16.4399865, 120.5657341 16.4399707, 120.5657623 16.4399575, 120.565841 16.4399453, 120.5659393 16.4399617, 120.5662166 16.4400071, 120.5664399 16.4400424, 120.566468 16.4400373, 120.5664875 16.4400277, 120.5665173 16.4399954, 120.5665438 16.4399376, 120.5665478 16.4398766, 120.566503 16.4397425, 120.5664834 16.4396714, 120.5664767 16.4395813, 120.5665022 16.4395131, 120.5665733 16.4394463, 120.5666685 16.4393922, 120.566749 16.4393575)",,,,
311734659,1776074984,0,256012231,,,Lamtang Road,primary,,False,111.102,"LINESTRING (120.5658343 16.4421924, 120.5655903 16.4421256, 120.5653355 16.4420612, 120.565204 16.4420561, 120.5650552 16.4420805, 120.5648285 16.4421616)",,,,
311734659,3804381024,0,780061977,2,,Pico-Lamtang Road,primary,,False,24.155,"LINESTRING (120.5658343 16.4421924, 120.5659805 16.4422825, 120.5660315 16.4422953)",,,,
311737984,7190594870,0,770317026,,,Mamaga Hanging Bridge,footway,,False,62.803,"LINESTRING (120.5947715 16.4382352, 120.5953374 16.4383914)",,yes,,
311737984,1388134525,0,53844203,2,204,La Trinidad Road,trunk,60,False,117.486,"LINESTRING (120.5947715 16.4382352, 120.5947915 16.4380841, 120.5949578 16.4376236, 120.5951348 16.4372428)",,,,
311737984,279428693,0,53844203,2,204,La Trinidad Road,trunk,60,False,129.67000000000002,"LINESTRING (120.5947715 16.4382352, 120.5947472 16.4383432, 120.5947207 16.4385445, 120.5946522 16.4390572, 120.5946368 16.4391738, 120.5946368 16.4392458, 120.5946434 16.439392)",,,,
311737984,8370443207,0,901052705,,,,residential,,False,112.78299999999999,"LINESTRING (120.5947715 16.4382352, 120.5945675 16.4381921, 120.5944991 16.4381728, 120.5944803 16.4381523, 120.5944763 16.4381188, 120.5944803 16.4380519, 120.594479 16.4380082, 120.5944575 16.4379709, 120.5944133 16.43794, 120.5942832 16.4379169, 120.5941451 16.4379143, 120.5940686 16.4379233, 120.5940297 16.4379554, 120.5940096 16.437994, 120.5940042 16.4380468)",,,,
311738068,1409193837,0,53844291,4,204,Benguet Provincial National Road,trunk,40,False,16.094,"LINESTRING (120.5915607 16.4447727, 120.5915232 16.4449129)",,,,
311738068,679782851,0,53844210,2,204,La Trinidad Road,trunk,40,True,50.053,"LINESTRING (120.5915607 16.4447727, 120.5915406 16.4447006, 120.5915393 16.4446132, 120.591546 16.4445244, 120.5915916 16.4443302)",,,,
312973579,312973583,0,28489039,2,204,Halsema Highway,trunk,,False,12.02,"LINESTRING (120.5879002 16.4620011, 120.5879941 16.4620609)",,,,
312973579,3802918079,0,98716153,4,204,Benguet Provincial National Road,trunk,140,False,33.208,"LINESTRING (120.5879002 16.4620011, 120.5879116 16.4619343, 120.5879592 16.4617079)",,,,
312973579,3802918070,0,256012230,2,,Pico-Buyagan Road,secondary,,False,146.203,"LINESTRING (120.5879002 16.4620011, 120.5871975 16.4616571, 120.5867801 16.4614583, 120.5866941 16.4614149, 120.5866774 16.4614065)",,,,
312973579,3802918092,0,857485254,,,,steps,,False,20.461,"LINESTRING (120.5879002 16.4620011, 120.5878642 16.4620768, 120.5878371 16.4621742)",,,,
312973583,312973579,0,28489039,2,204,Halsema Highway,trunk,,False,12.02,"LINESTRING (120.5879941 16.4620609, 120.5879002 16.4620011)",,,,
312973583,3802918104,0,28489039,2,204,Halsema Highway,trunk,,False,57.894999999999996,"LINESTRING (120.5879941 16.4620609, 120.5881389 16.4621368, 120.5882777 16.4622101, 120.5884714 16.462309)",,,,
312973583,1142052182,0,684086315,,,,tertiary,,False,120.45599999999999,"LINESTRING (120.5879941 16.4620609, 120.5880739 16.4621542, 120.5881342 16.4622031, 120.5882576 16.4622764, 120.5883676 16.4623432, 120.5884588 16.4624178, 120.5885071 16.462477, 120.5885433 16.4625452, 120.5885486 16.4626294, 120.5885211 16.4627008, 120.5884742 16.4627516, 120.5883582 16.4628146)",,,,
312973651,2647284144,0,965600333,2,204,Halsema Highway,trunk,,False,56.154,"LINESTRING (120.5903088 16.463668, 120.5899568 16.4632924)",,,,
312973651,3801788008,0,376791857,,,,service,,False,31.123,"LINESTRING (120.5903088 16.463668, 120.5904604 16.4635541, 120.5905435 16.463502)",driveway,,,
312973651,1409251481,0,965600333,2,204,Halsema Highway,trunk,,False,104.334,"LINESTRING (120.5903088 16.463668, 120.5904664 16.4638178, 120.5906441 16.4640023, 120.5907226 16.4640602, 120.5907876 16.4640975, 120.5908526 16.4641097, 120.5909412 16.464093, 120.5910793 16.4640094)",,,,
312973674,3801787980,0,376791852,,,,residential,,False,57.509,"LINESTRING (120.5916278 16.4643123, 120.5915353 16.4642846, 120.5914045 16.4642583, 120.5912503 16.464248, 120.5911577 16.4642686, 120.5911014 16.4642859)",,,,
312973674,3801768724,0,965600333,2,204,Halsema Highway,trunk,,False,92.71000000000001,"LINESTRING (120.5916278 16.4643123, 120.5917407 16.4643952, 120.5919495 16.4645068, 120.5920746 16.4645569, 120.5922885 16.464634, 120.5924077 16.4646671)",,,,
312973674,1409251481,0,965600333,2,204,Halsema Highway,trunk,,False,83.89800000000001,"LINESTRING (120.5916278 16.4643123, 120.5915346 16.464165, 120.5914521 16.4640062, 120.5914005 16.4639503, 120.5913395 16.4639297, 120.5912717 16.4639252, 120.5911564 16.4639715, 120.5910793 16.4640094)",,,,
312974043,2562476969,0,182199059,,,,tertiary,,False,118.88499999999998,"LINESTRING (120.6095555 16.4621082, 120.6096227 16.4621953, 120.6097099 16.4623137, 120.6097582 16.4623715, 120.6097998 16.4623895, 120.6098454 16.4623986, 120.6098883 16.4623844, 120.6100653 16.4622712, 120.6101377 16.4622404, 120.6102356 16.4622275, 120.6103671 16.4622121, 120.6104797 16.4622146)",,,,
312974043,3802985218,0,843906986,2,204,Halsema Highway,trunk,,False,100.63499999999999,"LINESTRING (120.6095555 16.4621082, 120.6096335 16.4621332, 120.6097099 16.4621362, 120.6097957 16.4621207, 120.6098641 16.4620886, 120.6099205 16.4620526, 120.6100143 16.4619587, 120.6101096 16.4617992, 120.610186 16.4616925, 120.6102343 16.4616179)",,,,
312974043,3802985239,0,843906986,2,204,Halsema Highway,trunk,,False,84.188,"LINESTRING (120.6095555 16.4621082, 120.6091882 16.4618918, 120.6089562 16.4617529, 120.6088771 16.4617233)",,,,
312974229,7919918704,0,843906986,2,204,Halsema Highway,trunk,,False,4.727,"LINESTRING (120.6167655 16.4606886, 120.6167776 16.4607295)",,,,
312974229,1142032106,0,843906986,2,204,Halsema Highway,trunk,,False,41.284,"LINESTRING (120.6167655 16.4606886, 120.6167386 16.4606063, 120.6167105 16.4605677, 120.6166676 16.4605234, 120.6166361 16.4604938, 120.6165851 16.4604584, 120.6165107 16.4604359)",,,,
312974229,1142032106,1,"[952050712, 952050713, 952050711]",,,,service,,False,46.848,"LINESTRING (120.6167655 16.4606886, 120.6166314 16.4606674, 120.6165765 16.460648, 120.6165245 16.4606007, 120.6165093 16.4605208, 120.6165107 16.4604359)",driveway,,,
312974481,9110805195,0,985503718,,,,service,,False,45.195,"LINESTRING (120.6262403 16.4670646, 120.6259212 16.4673321)",,,,
312974481,7920165721,0,843906986,2,204,Halsema Highway,trunk,,False,37.399,"LINESTRING (120.6262403 16.4670646, 120.6263986 16.4672755, 120.6264343 16.4673439)",,,,
312974481,7927405968,0,843906986,2,204,Halsema Highway,trunk,,False,572.377,"LINESTRING (120.6262403 16.4670646, 120.6258675 16.4665745, 120.6258005 16.466509, 120.6257455 16.4664742, 120.6256557 16.4664408, 120.6255698 16.4664215, 120.6254833 16.4663945, 120.6254062 16.4663482, 120.6253626 16.4663019, 120.6253378 16.4662505, 120.625319 16.4661849, 120.625315 16.4661064, 120.6253204 16.4660061, 120.6253177 16.4658646, 120.6253016 16.4657695, 120.6252627 16.4656717, 120.6251085 16.4653643, 120.6249381 16.4649824, 120.6248751 16.4648634, 120.6248295 16.4647817, 120.6247752 16.4647161, 120.6247229 16.4646705, 120.6246532 16.4646255, 120.6246109 16.4646107, 120.6244782 16.4645695, 120.6243762 16.4645393, 120.6243226 16.464511, 120.6242683 16.464466, 120.6242153 16.4644075, 120.6241744 16.4643451, 120.6241523 16.4642647, 120.6241389 16.4641091, 120.6241429 16.4640017, 120.6241603 16.4639303, 120.6241912 16.4638583, 120.6242274 16.4637985, 120.6243427 16.4636641, 120.624509 16.4634956, 120.62456 16.4634377, 120.6245895 16.4633644, 120.6246042 16.4633033, 120.6246085 16.4632506, 120.6245989 16.4631786, 120.6245707 16.4631226, 120.6244969 16.4630107, 120.6244618 16.4629842)",,,,
312974509,9110206050,0,843906986,2,204,Halsema Highway,trunk,,False,20.874,"LINESTRING (120.6288381 16.4692188, 120.6286846 16.4691023)",,,,
