u,v,key,osmid,highway,oneway,length,geometry,lanes,name,maxspeed,access,service,ref,bridge,width,junction,tunnel
268430316,268432984,0,109035620,tertiary,False,102.803,"LINESTRING (123.3087571 9.308084300000001, 123.3096938 9.3081017)",2,San Jose,,,,,,,,
268430316,268430726,0,109375284,tertiary,False,121.257,"LINESTRING (123.3087571 9.308084300000001, 123.3086974 9.3069954)",2,Santa Catalina,,,,,,,,
268430316,268434276,0,710507613,tertiary,False,57.53,"LINESTRING (123.3087571 9.308084300000001, 123.3087771 9.308601299999999)",2,Santa Catalina,,,,,,,,
268430316,268433602,0,710507614,tertiary,False,123.536,"LINESTRING (123.3087571 9.308084300000001, 123.3076321 9.3081265)",2,San Jose,,,,,,,,
268430466,8395615600,0,24695644,tertiary,False,8.097,"LINESTRING (123.3047894 9.3273937, 123.3047879 9.3274665)",2,N. Basagoite Street,,,,,,,,
268430466,618604088,0,291045656,primary,True,39.35,"LINESTRING (123.3047894 9.3273937, 123.3051426 9.327455)",2,E. Rovira,,,,,,,,
268430466,9116939060,0,24695644,tertiary,False,52.532,"LINESTRING (123.3047894 9.3273937, 123.3047858 9.3270506, 123.3047842 9.3269213)",2,N. Basagoite Street,,,,,,,,
268430551,3711157852,0,49037625,primary,False,28.465,"LINESTRING (123.2932078 9.2998136, 123.2929572 9.2997475)",,Jose Romero Road,,,,,,,,
268430551,2902423685,0,49037625,primary,False,154.191,"LINESTRING (123.2932078 9.2998136, 123.2945687 9.3001588)",,Jose Romero Road,,,,,,,,
268430551,8393002235,0,243252968,secondary,False,82.571,"LINESTRING (123.2932078 9.2998136, 123.2932444 9.300555299999999)",2,Batinguel-Bagacay,,,,,,,,
268430613,7572174471,0,24695618,unclassified,True,4.524,"LINESTRING (123.3076253 9.3086447, 123.3076665 9.308643099999999)",2,Noblefranca Street,,,,,,,,
268430613,7572174468,0,287496482,primary,False,52.533,"LINESTRING (123.3076253 9.3086447, 123.3076315 9.308172300000001)",2,Governor Perdices Street,40,,,7,,,,
268430613,7572174473,0,287496482,primary,False,3.617,"LINESTRING (123.3076253 9.3086447, 123.307624 9.3086772)",2,Governor Perdices Street,40,,,7,,,,
268430617,1249531922,0,24695683,secondary,False,66.909,"LINESTRING (123.3000402 9.320779399999999, 123.3006487 9.320818299999999)",2,E. J. Blanco,,,,,,,,
268430617,9116806065,0,251713111,trunk,False,70.742,"LINESTRING (123.3000402 9.320779399999999, 123.3002393 9.3201743)",2,East Rovira Drive,,,,7,,,,
268430617,6848497385,0,251713111,trunk,False,14.349,"LINESTRING (123.3000402 9.320779399999999, 123.2999997 9.3209021)",2,East Rovira Drive,,,,7,,,,
268430617,268434526,0,24695683,secondary,False,222.87099999999998,"LINESTRING (123.3000402 9.320779399999999, 123.2993453 9.3207269, 123.2989035 9.320676600000001, 123.2980289 9.320516700000001)",2,E. J. Blanco,,,,,,,,
268430663,268429562,0,24695690,tertiary,False,99.932,"LINESTRING (123.3041862 9.3067949, 123.3042137 9.305896600000001)",2,Libertad,,,,,,,,
268430663,268434275,0,109035608,secondary,False,69.481,"LINESTRING (123.3041862 9.3067949, 123.3048188 9.306821899999999)",2,Dr. Vicente Locsin,,,,,,,,
268430663,6680114913,0,109035608,secondary,False,403.051,"LINESTRING (123.3041862 9.3067949, 123.3019597 9.3066931, 123.3009673 9.306630699999999, 123.3005181 9.3066084)",2,Dr. Vicente Locsin,,,,,,,,
268430719,268432517,0,109228608,service,False,45.316,"LINESTRING (123.3008727 9.312291800000001, 123.3012373 9.312483200000001)",,,,,driveway,,,,,
268430719,268429869,0,366753146,service,False,40.91,"LINESTRING (123.3008727 9.312291800000001, 123.3006993 9.3126175)",,,,,driveway,,,,,
268430719,1797024339,0,904059560,service,False,61.319,"LINESTRING (123.3008727 9.312291800000001, 123.3011243 9.3117994)",,,,,,,,,,
268430720,9116725196,0,174883122,tertiary,False,45.195,"LINESTRING (123.3006977 9.318901800000001, 123.3003199 9.318739900000001)",2,Claytown Road,,,,,,,,
268430720,9116725201,0,251713111,trunk,False,29.776,"LINESTRING (123.3006977 9.318901800000001, 123.3006002 9.319151700000001)",2,East Rovira Drive,,,,7,,,,
268430720,1140669761,0,251713111,trunk,False,161.719,"LINESTRING (123.3006977 9.318901800000001, 123.3008421 9.318610700000001, 123.3013705 9.3176079)",2,East Rovira Drive,,,,7,,,,
268430726,268430316,0,109375284,tertiary,False,121.257,"LINESTRING (123.3086974 9.3069954, 123.3087571 9.308084300000001)",2,Santa Catalina,,,,,,,,
268430726,268434995,0,109375284,tertiary,False,58.181,"LINESTRING (123.3086974 9.3069954, 123.3086714 9.3064728)",2,Santa Catalina,,,,,,,,
268430726,7572174459,0,908011590,tertiary,False,102.211,"LINESTRING (123.3086974 9.3069954, 123.3077671 9.3069495)",2,Dr. Vicente Locsin,,,,,,,,
268430726,268435097,0,908011590,tertiary,False,138.565,"LINESTRING (123.3086974 9.3069954, 123.3099597 9.307029200000001)",2,Dr. Vicente Locsin,,,,,,,,
268430733,268432483,0,24695684,residential,False,151.818,"LINESTRING (123.3033866 9.325564999999999, 123.3047702 9.325571699999999)",,D.B. Catapusan Street,,,,,,,,
